"","indicator_sds.1","indicator_sds.2","id"
"1",Sustainable Development indicators,sd),"( sd)"
"2",Socioeconomic development,sd_ec),"( sd_ec)"
"3",Real GDP per capita, growth rate and totals,tsdec100),"( tsdec100)"
"4",Economic development,sd_ec_dev),"( sd_ec_dev)"
"5",Investment by institutional sectors,tsdec210),"( tsdec210)"
"6",Net national income,tsdec230),"( tsdec230)"
"7",Household saving rate,tsdec240),"( tsdec240)"
"8",Real adjusted gross disposable income of households per capita,tec00113),"( tec00113)"
"9",Innovation, competitiveness and eco-efficiency,sd_ec_inn),"( sd_ec_inn)"
"10",Labour productivity per hour worked,ESA 2010) (tsdec310),"( ESA 2010) (tsdec310)"
"11",Total R&D expenditure,tsdec320),"( tsdec320)"
"12",Real effective exchange rate - 37 trading partners,tsdec330),"( tsdec330)"
"13",Turnover from innovation,tsdec340),"( tsdec340)"
"14",Energy intensity of the economy,tsdec360),"( tsdec360)"
"15",Eco-innovation index,t2020_rt200),"( t2020_rt200)"
"16",Employment,sd_ec_emp),"( sd_ec_emp)"
"17",Total employment rate,tsdec410),"( tsdec410)"
"18",Employment rate by educational attainment level,tsdec430),"( tsdec430)"
"19",Dispersion of regional employment rates, by sex,tsdec440),"( tsdec440)"
"20",Total unemployment rate,tsdec450),"( tsdec450)"
"21",Young people neither in employment nor in education and training,15-24 years) - % of the total,"( 15-24 years) - % of the total"
"22",population in the s(...),tipslm90),"( tipslm90)"
"23",Nominal unit labour cost - 3 years % change,tipslm10),"( tipslm10)"
"24",Sustainable consumption and production,sd_pc),"( sd_pc)"
"25",Resource productivity,tsdpc100),"( tsdpc100)"
"26",Resource use and waste,sd_pc_ruw),"( sd_pc_ruw)"
"27",Generation of waste excluding major mineral wastes,tsdpc210),"( tsdpc210)"
"28",Components of domestic material consumption,tsdpc220),"( tsdpc220)"
"29",Domestic material consumption by material - 1 000 t,tsdpc230),"( tsdpc230)"
"30",Municipal waste generation and treatment, by type of treatment method,tsdpc240),"( tsdpc240)"
"31",Generation of hazardous waste by economic activity,tsdpc250),"( tsdpc250)"
"32",Emissions of sulphur oxides,SOx) by source sector (tsdpc260),"( SOx) by source sector (tsdpc260)"
"33",Emissions of nitrogen oxides,NOx) by source sector (tsdpc270),"( NOx) by source sector (tsdpc270)"
"34",Emissions of non-methane volatile organic compounds,NMVOC) by source sector (tsdpc280),"( NMVOC) by source sector (tsdpc280)"
